_id,updated,session_id,block_id,room_id,session_type,session_level,session_title,session_abstract,session_requirements,session_keywords,session_hashtag,session_url,session_youtube_url,session_moderator_url,session_pdf_url,session_notes_url,session_starred,session_cal_event_id,session_livestream_url
1,1428674812959,258451203,1368723600-1368727200,room8,SESSION,,Enabling Blind and Low-Vision Accessibility On Android,"We'll illustrate affordances on the Android platform that aid blind and low-vision users, and explain what application developers need to pay attention to in order to reach the widest possible user base.  The primary focus of this talk is making custom Android views accessible.",,,android,https://developers.google.com/events/io/sessions/258451203,,,,,0,,
2,1428674812960,318907648,1368728100-1368730500,room10,SESSION,,Web Components: A Tectonic Shift for Web Development,"Web Components are here to fundamentally change the way we think, build, and consume our web apps.  This session will prepare you for the future of the web platform by discussing the lower level technologies that form the basis of Web Components (Shadow DOM, <template>, custom elements, MDV, new CSS primitives).  Many of these tools have already landed in a modern browser near you!",,,chromeapps,https://developers.google.com/events/io/sessions/318907648,,,,,0,,FDEMA6OhvGo
3,1428674812960,324149970,1368733500-1368735900,room10,SESSION,,Web Components in Action,"This session builds on technologies and concepts discussed in a previous session, ""Web Components: a tectonic shift for web development"". This year web development gets a whole lot better thanks to the incredible power of Web Components. Our goal in this session is to show you how to use polyfills to help you realize tomorrow's web platform today. As browsers implement these new specifications, that shim layer gets smaller, better, and faster over time. We'll talk about shadow DOM, custom elements, declarative data/event binding, touch input, smooth animations, and how you can combine them to create awesome apps. Write less boilerplate, target every platform, and be more productive by using the next generation of the web platform.",,,chromeapps,https://developers.google.com/events/io/sessions/324149970,,,,,0,,FDEMA6OhvGo
4,1428674812960,324431569,1368824400-1368826800,room10,SESSION,,Feature Detection in the Real World,"In an ideal world, we would always use feature detection to decide what features to serve our users. Unfortunately, in the real world, there are practical problems with that approach, especially when facing users on mobile devices where you need to evaluate their runtime capabilities while you're serving assets.

In this talk, I'll introduce the ideas and tools behind feature detection and then discuss our experiences with detecting the edge of the web at Coursera.",,,chromeapps,https://developers.google.com/events/io/sessions/324431569,,,,,0,,
5,1428674812960,324431687,1368723600-1368727200,room10,SESSION,,Web Languages and VMs: Fast Code is Always in Fashion,"A fundamental necessity for innovation within web apps is fast execution speed. This talk will take a deep dive into the machine rooms of both V8 and the Dart VM and explain some of the reasons why a new execution engine is needed for taking the web platform to the next level. Please join us to hear about how programming languages impact the underlying virtual machines, complexity, on-the-fly code generation, and predictable performance.",,,chromeapps,https://developers.google.com/events/io/sessions/324431687,,,,,0,,FDEMA6OhvGo
6,1428674812961,324498944,1368733500-1368735900,room12,SESSION,,What's New in Google Play Services,"A high-level view of everything that's now available as part of Google Play services since it's launch, with a special focus on how this affects you as a developer - and what you should be paying attention to.",,,android,https://developers.google.com/events/io/sessions/324498944,,,,,0,,hXPAXKb-LQE
7,1428674812961,324511365,1368750000-1368752400,room10,SESSION,,True Grit: Debugging CSS & Render Performance,"It's tempting to view CSS optimization as a dark art, for initiates only.  This session will focus on identifying and resolving slow renders, with an emphasis on layout and paint times.  We'll use Chrome DevTools to find, benchmark, and debug slowness in the render-side of an application.  Uncovering a number of sluggish culprits, we'll explore where the time is spent and dig into profiling data from Chrome's internals. You'll walk away with a better understanding of how to use your time wisely while making your application scream with speed, and smart workarounds that address common CSS performance problems.",,,chromeapps,https://developers.google.com/events/io/sessions/324511365,,,,,0,,FDEMA6OhvGo
8,1428674812961,324558168,1368658200-1368660600,room10,SESSION,,The Modern Workflow for Developing the Mobile Web,"Building for today's mobile web, getting 60fps across all target devices, while still delivering a fantastic user experience is a huge challenge. We'll dive into all the tools for development, testing, and performance evaluation of mobile webapps. Understand how best to develop with immediate feedback from the mobile devices you're targetting, scale up complexity to avoid hard performance decisions later. We'll also review all the possibilities of device testing locally and in the cloud.

In this session we'll debut improved remote debugging with Chrome for Android and the Chrome DevTools. You can now do local tunneling for improved local development.

You'll walk away from the session with a solid overview of the landscape of mobile web tooling and feel confident returning to your projects.

",,,chromeapps,https://developers.google.com/events/io/sessions/324558168,,,,,0,,2OgAetgR_ok
9,1428674812961,324603352,1368647100-1368650700,room12,SESSION,,What's New in Android Developer Tools,"An in-depth tour of the Android development tools, with a closer look at everything new - along with tips and tricks for getting the most out of them.",,,android,https://developers.google.com/events/io/sessions/324603352,,,,,0,,XclVwJP5GdM
10,1428674812961,324706714,1368654300-1368656700,room10,SESSION,,A More Awesome Web: Features You've Always Wanted,"The web continues to evolve at an accelerated rate. It's hard to keep up! This session will cover the bleeding-edge features of HTML5 that you may have missed, focusing on features that make developers' lives easier and apps more powerful. A heavy focus will be on freshly landed CSS/JS/HTML primitives which address layout, performance, and specific use cases...especially on mobile: @viewport, @supports, intrinsic/viewport units, resolution & pointer media queries, User/Resource Timing APIs, JS i18n API, iframe goodies, <template>, <dialog>, and more.",,,chromeapps,https://developers.google.com/events/io/sessions/324706714,,,,,0,,2OgAetgR_ok
